'arf             	fél/fele         
sleep light      	ébren alszik     
sleep ower it    	alszik rá egyet  
sleep through    	elalszik         
sleep up         	kialussza magát  
sleep with       	lefekszik vele   
sleeper          	alvó             
sleepily         	álmosan          
sleepiness       	álmosság         
sleeping         	alvó             
sleeping beauty  	csipkerózsika    
sleeping partner 	csendestárs      
sleeping-bag     	hálózsák         
sleeping-car     	hálókocsi        
sleeping-draught 	altató           
sleeping-pill    	altató           
sleeping-quarters	hálóhelyiségek   
sleeping-sickness	álomkór          
sleeping-suit    	hálózsák         
sleeping-tablet  	altató           
sleepless        	álmatlan         
sleeplessness    	álmatlanság      
sleep-walker     	alvajáró         
sleepy           	álmos            
sleepy-head      	álomszuszék      
sleet            	dara             
sleeve           	ujj              
sleeved          	ujjas            
sleeveless       	ujjatlan         
sleeve-nut       	menetes hüvely   
sleeve-valve     	tolattyú         
sleigh           	szán(kó)         
sleigh-bell      	száncsengõ       
sleigh-ride      	szánkázás        
sleight          	bûvészet         
sleight of hand  	bûvészmutatvány  
slender          	karcsú           
slept            	aludt            
sleuth           	kopó             
slew             	csavarodás       
slew round       	elfordul         
slice            	szelet           
slice off        	leszel           
slice up         	felszel(etel)    
slicer           	szeletelõ(gép)   
slicing          	feldarabolás     
slick            	sima             
slicker          	esõköpeny        
slickness        	ügyesség         
slid             	csúsztatott      
slide            	dia              
slide away       	elillan          
slide by         	elillan          
slide down       	lecsúszik        
slide fastener   	zippzár          
slide frame      	diakeret         
slide strip      	diafilm(csík)    
slide-projector  	diavetítõ        
slider           	csúszó           
slide-rule       	logarléc         
slide-valve      	dugattyús henger 
slide-way        	csúszda          
sliding          	csúszás          
sliding door     	tolóajtó         
sliding roof     	tolótetõ         
sliding seat     	gurulóülés       
slight           	csekély          
slighting        	fitymáló         
slightly         	némileg          
slightly-built   	karcsú           
slightness       	jelentéktelenség 
slim             	karcsú           
slime            	iszap            
sliminess        	iszaposság       
slimmed          	legkarcsúbb      
slimmer          	karcsúbb         
slimming         	fogyás           
slimming cure    	fogyókúra        
slimming diet    	fogyókúra        
slimness         	karcsúság        
slimpsy          	törékeny         
slimsy           	törékeny         
slimy            	iszapos          
sling            	parittya         
sling-cart       	lõszerkocsi      
slings           	felakaszt        
sling-shot       	csúzli           
slink            	ólálkodik        
slink away       	elsomfordál      
slink in         	belopakodik      
slink off        	eloldalog        
slip             	csúszás          
slip by          	elmúlik          
slip down        	lecsúszik        
slip in          	becsúszik        
slip into        	becsúsztat       
slip into bed    	ágyba bújik      
slip its chain   	elszabadul       
slip of a girl   	csitri           
slip of paper    	cetli            
slip of the pen  	elírás           
slip off         	lecsúszik        
slip on          	bebújik          
slip out         	kicsúszik        
slip over        	magára húz       
slip through     	kicsúszik        
slip up          	bakizik          
slip-cover       	védõhuzat        
slip-in          	becsúsztatós     
slip-knot        	csúszócsomó      
slip-on          	be(le)bújós      
slippage         	(meg)csúszás     
slipped          	elcsúszott       
slipper          	papucs           
slippers         	papucs           
slippery         	síkos            
slip-pocket      	zseb             
slip-proof       	hasáblevonat     
slippy           	mozgékony        
slip-ring        	csúszógyûrû      
slip-road        	bekötõ út        
slipshod         	hanyag           
slipslop         	lötty            
slip-stream      	légörvény        
slip-up          	baki             
slip-way         	csúszda          
slit             	hasíték          
slit-eyed        	fedeszemû        
slither          	megcsúszás       
slitting         	széthasítás      
sliver           	forgács          
slobber          	csöpögõs         
sloe             	kökény           
slog             	erõs ütés        
slogan           	jelmondat        
slogger          	kitartó          
sloop            	naszád           
slop             	lötty            
slop over        	kilöttyen        
slope            	lejtõ            
slopiness        	lejtõsség        
sloping          	lejtõs           
slop-pail        	szennyvízvödör   
slopped          	kilottyantott    
sloppiness       	lucskosság       
sloppy           	lucskos          
slop-room        	ruhatár          
slop-shop        	készruha-keresked
slosh            	behúz egyet      
slot             	nyílás           
sloth            	tunya            
slothful         	tunyaság         
slot-machine     	pénzbedobós autom
slot-meter       	pénzbedobós mérõ 
slouch           	lomha            
slough           	pocsolya         
sloughy          	mocsaras         
sloven           	slampos          
slovenliness     	slamposság       
slovenly         	slampos          
slow             	lassú            
slow down        	lassít           
slow goods       	teheráru         
slow poison      	lassan ölõ méreg 
slow train       	személyvonat     
slow up          	lelassul         
slow-burning     	lassan égõ       
slow-coach       	lassú észjárású  
slow-down        	lassítás         
slower           	lassabb          
slow-motion      	lassított        
slowness         	lassúság         
slow-witted      	lassú észjárású  
slow-worm        	törékeny gyík    
slub             	vastagodás       
sludge           	sár              
sludgy           	sáros            
slue             	csavarodás       
slug             	naplopó          
slug-a-bed       	hétalvó          
sluggard         	rest             
sluggish         	tunya            
sluggisness      	lomhaság         
sluice           	zsilip           
sluice-gate      	zsilipkapu       
sluice-keeper    	zsilipõr         
sluice-valve     	zsilipkapu       
sluice-way       	zsilipmeder      
sluing           	csavarodás       
slum             	nyomornegyed     
slumber          	szundít(ás)      
slummy           	proli            
slump            	pangás           
slums            	nyomornegyed     
slung            	gin + limonádé + 
slunk            	ólálkodik        
slur             	gyalázat         
slurred          	elmosódott       
slurry           	cementhabarcs    
slush            	latyak           
slush-fund       	kenõpénz         
slushy           	latyakos         
slut             	rosszhírû nõ     
sluttish         	slampos nõ       
sly              	ravasz           
slyness          	ravaszság        
smack            	(mellék)íz       
small            	kicsi            
small arms       	kézifegyver      
small beer       	gyenge sör       
small cakes      	teasütemény      
small change     	aprópénz         
small eater      	kis étkû         
small fry        	apróhal          
small game       	apróvad          
small grain      	finom szemcséjû  
small grained    	finomszemcsés    
small intestine  	vékonybél        
small letter     	kisbetû          
small shot       	sörét            
small sticks     	rõzse            
small talk       	csevegés         
small waist      	keskeny derék    
small wine       	gyenge bor       
small wood       	aprófa           
small-clothes    	térdnadrág       
smaller          	kisebb           
small-holder     	kisgazda         
smallish         	meglehetõsen kics
small-minded     	kicsinyes        
smallness        	kicsi(ny)ség     
smallpax         	bárányhimlõ      
smallpox         	himlõ            
smalls           	alsónadrág       
small-scale      	kisipari         
small-signal     	kisjelû          
small-sword      	tõr              
small-time       	piti             
small-wares      	rövidáru         
smarm            	hízeleg          
smarmy           	hízelgõ          
smart            	divatos          
smart alec       	beképzelt alak   
smart aleck      	beképzelt alak   
smarten          	feldíszít        
smarting         	szúró/fájó       
smart-money      	fájdalomdíj      
smartness        	divatosság       
smarty           	okoskodó         
smash            	összezúz         
smash a record   	csúcsot dönt     
smash hit        	bombasiker       
smasher          	remek dolog      
smashing         	remek            
smash-up         	összeütközés     
smattering       	felületes tudás  
smear            	maszat           
smear-word       	csúfnév          
smell            	szag(lás)        
smell out        	kiszimatol       
smell round      	körülszaglász    
smelled          	szagolt          
smelling-salts   	repülõsó         
smelt            	szagolt          
smeltery         	öntöde           
smelting-furnace 	olvasztókemence  
smelly           	büdös            
smew             	bukómadár        
smilax           	szárcsagyökér    
smile            	mosoly           
smiling          	mosolygó(s)      
smirch           	folt             
smirk            	vigyor(og)       
smite            	sújt             
smith            	kovács           
smithereens      	apró darabok     
smithy           	kovácsmûhely     
smitten          	súlytott         
smock            	köpeny           
smock-frock      	munkaruha        
smog             	füstköd          
smoke            	dohányzik        
smoke out        	kifüstöl         
smoke-bomb       	füstbomba        
smoke-consumer   	füstemésztõ      
smoke-curing     	füstölés         
smoked           	füstölt          
smoke-dried      	füstölt          
smoke-house      	húsfüstölõ       
smoke-jack       	nyársforgató     
smokeless        	füstmentes       
smoker           	dohányzó         
smoke-screen     	ködösítés        
smokestack       	kémény           
smoke-stack      	kémény           
smoking          	füstölés         
smoking-carriage 	dohányzó kocsi   
smoking-jacket   	házikabát        
smoking-room     	dohányzó         
smoky            	füstös           
smolder          	parázslik        
smooth           	sima             
smooth away      	elsimít          
smooth down      	lecsillapodik    
smooth out       	kisimít          
smooth over      	palástol         
smooth sail      	sima ügy         
smooth-bore      	huzagolatlan     
smooth-chinned   	sima állú        
smoothe          	lesimít          
smooth-faced     	behízelgõ        
smoothing-iron   	(ruha)vasaló     
smoothing-plane  	simítógyalu      
smoothly         	simán            
smoothness       	simaság          
smooth-running   	egyenletes járású
smooth-spoken    	behízelgõ        
smooth-tongue    	behízelgõ        
smote            	súlytott         
smother          	megfojt          
smother up       	eltussol         
smothered in fog 	ködbe borult     
smothery         	fojtó            
smoulder         	parázslik        
smudge           	piszok           
smudgy           	piszkos          
smug             	önelégült/pedáns 
smuggle          	csempészik       
smuggler         	csempész         
smuggling        	csempészés       
smugness         	önelégültség     
smut             	korom            
smuttiness       	kormosság        
smutty           	kormos           
snack            	falatozás        
snack-bar        	gyorsbüfé        
snaffle          	zabla            
snag             	görcs            
snaggy           	görcsös          
snail            	csiga            
snake            	kígyó            
snake-bite       	kígyómarás       
snake-charmer    	kígyóbûvölõ      
snakeskin        	kígyóbõr         
snake-weed       	kígyógyökér      
snaky            	kígyószerû       
snap             	haragszik        
snap at          	utána kap        
snap down        	rákattint        
snap into        	rákapcsol        
snap off         	leharap          
snap out         	kurtán odamond   
snap out of it   	kivágja magát    
snap up          	felkap           
snapdragon       	tátika           
snap-fastener    	patent(kapocs)   
snap-hammer      	zúzópöröly       
snap-lock        	rugós kapocs     
snapper-up       	tolvaj           
snappily         	talpraesetten    
snappish         	harapós          
snappy           	talpraesett      
snapshot         	pillanatfelvétel 
snare            	kelepce          
snarer           	csapdaállító     
snarl            	vicsorítás       
snarl at         	rámordul         
snatch           	elragad          
snatch at        	kapva kap        
snatch-block     	csigasor         
snatching        	megkaparintás    
sneak            	alattomos        
sneaker          	settenkedõ       
sneakers         	tornacipõ        
sneaking         	sunyi            
sneak-thief      	besurranó tolvaj 
sneer            	gúnymosoly       
sneeze           	tüsszent(és)     
snick            	rovátka          
snicker          	vihog(ás)        
snickersnee      	nagykés          
snide            	hamis(ított)     
sniff            	szimatol(ás)     
sniff about      	körülszaglász    
sniff up         	felszippant      
sniffle          	szipog(ás)       
sniffles         	nátha            
sniffy           	lenézõ           
snift            	szuszog          
snigger          	vihog(ás)        
snip             	(le)nyisszantás  
snipe            	szalonka         
sniper           	orvlövész        
snippet          	töredék          
snippety         	apró-cseprõ      
snips            	lemezvágó olló   
snivel           	nyafogás         
sniveler         	nyafogó          
snivell          	nyafog           
sniveller        	nyafogó          
snob             	sznob            
snobbery         	sznobizmus       
snobbish         	sznob            
snobbishness     	sznobizmus       
snood            	hajpánt          
snook            	szamárfül        
snooker          	biliárd          
snoop            	szimatol         
snoop into       	beleüti az orrát 
snooty           	beképzelt        
snooze           	szundikál(ás)    
snore            	horkol           
snored           	horkolt          
snoring          	horkolás         
snorkel          	légzõcsõ         
snort            	prüszköl(és)     
snorter          	klassz dolog     
snot             	takony           
snotty           	taknyos          
snout            	ormány           
snow             	hó               
snow in          	behavaz          
snow shovel      	hólapát          
snow up          	behavaz          
snowball         	hógolyó          
snowball-tree    	labdarózsafa     
snow-bank        	hóbucka          
snow-blindness   	hóvakság         
snow-boots       	hócipõ           
snow-bound       	behavazva        
snow-capped      	hóborította      
snow-chain       	hólánc           
snow-drift       	hótorlasz        
snowdrop         	hóvirág          
snowfall         	hóesés           
snow-field       	hómezõ           
snowflake        	hópehely         
snowflakes       	hópihék          
snow-frost       	jégvirág         
snow-line        	hóhatár          
snowman          	hóember          
snow-man         	hóember          
snowmobile       	motorosszán      
snow-plough      	hóeke            
snow-plow        	hóeke            
snow-shoe        	hótalp           
snow-slide       	hógörgeteg       
snow-slip        	hógörgeteg       
snowstorm        	hóvihar          
snow-suit        	kezes-lábas orkán
snow-tire        	téli gumi        
snow-tyre        	téli gumi        
snowwhite        	hófehérke        
snow-white       	hófehér          
snowy            	havas            
snr.             	id.              
snub             	megakadályoz     
snub-nosed       	piszeorrú        
snuff            	szippantás       
snuff-box        	dohányszelence   
snuffer          	koppantó         
snuffers         	koppantó         
snuffle          	szipákol(ás)     
snuffler         	képmutató        
snuffy           	mocskos          
snug             	kényelmes        
snuggery         	meghitt kis szoba
snuggle          	odasimul         
snugness         	kényelem         
so               	így              
so am i          	én is            
so bad           	nemrossz         
so be it         	így legyen       
so do i          	én is            
so far           	eddig            
so far as        	amennyiben       
so i am          	az is vagyok     
so it appears    	úgy látszik      
so long          	viszontlátásra   
so long as       	ameddig          
so long!         	szia             
so many          	ennyi            
so much          	ennyi            
so much as       	ugyanúgy mint    
so much so that  	olyannyira, hogy 
so much the more 	annál is inkább  
so near          	olyan közel      
so that          	úgy hogy         
so there         	nana             
so to say        	úgy szólván      
so to speak      	úgyszólván       
so what?         	na és?           
so you are       	csakugyan        
so you say       	mondod te        
soak             	áztatás          
soak in          	beivódik         
soak through     	átázik           
soak up          	felitat          
soakage          	átitatás         
soaked           	átázott          
soaker           	felhõszakadás    
soaking          	elázott          
so-and-so        	mr. x.y.         
soap             	szappan          
soap-box orator  	népszónok        
soap-buble       	szappanbuborék   
soap-dish        	szappantartó     
soap-flakes      	szappanpehely    
soap-stone       	zsírkõ           
soap-suds        	szappanos víz    
soap-works       	szappangyár      
soap-wort        	szappanfû        
soapy            	szappanos        
soar             	felrepül         
soaring          	szárnyaló        
sob              	zokogás          
sober            	józan            
sober down       	kijózanít        
sober fact       	rideg valóság    
sober up         	lehiggad         
sober-minded     	megfontolt       
soberness        	józanság         
sobersides       	komoly ember     
sobriety         	józanság         
sobriquet        	gúnynév          
sob-story        	érzelmes történet
sob-stuff        	érzelmes történet
socage           	robotmunka       
so-called        	úgy hívják       
so-called        	úgynevezett      
soccer           	foci             
sociability      	barátkozó        
sociable         	barátságos       
social           	társadalmi       
social economy   	közgazdaságtan   
social evening   	estély           
social welfare   	gondozó          
social worker    	gondozó          
socialism        	szocializmus     
socialist        	szocialista      
socialite        	elõkelõség       
socialize        	államosít        
societal         	társadalmi       
society          	társadalom       
sociological     	szociológiai     
sociologist      	társadalomkutató 
sociology        	szociológia      
sock             	zokni            
sock suspender   	harisnyakötõ     
sockdolager      	kegyelemdöfés    
socket           	foglalat         
socket-wrench    	csõkulcs         
socks            	zokni            
socle            	alj(zat)         
sod              	gyep             
soda             	szóda            
soda-fountain    	szódáspalack     
soda-jerker      	csapos           
soda-water       	szódavíz         
sodden           	áritatott        
sodium           	nátrium          
soever           	bárhogyan        
sofa             	pamlag           
sofa bed         	rekamié          
soft             	puha             
soft job         	jó kis állás     
soft sawder      	hízelgés         
soft snap        	potya            
soft tack        	kenyér           
soft-boiled      	puhára fõtt      
softboiled egg   	lágytojás        
soft-boiled egg  	lágytojás        
soften           	(meg)lágyul      
softening        	lágyulás         
softh iron       	lágyvas          
soft-headed      	hülye            
soft-hearted     	lágyszívû        
softie           	balek            
softish          	puhás            
softly           	lágyan           
softness         	puhaság          
soft-pedal       	tompít           
soft-soap        	(be)nyal         
soft-spoken      	barátságos       
software         	program          
soft-witted      	hülye            
softy            	balek            
soggy            	nedves           
soil             	talaj            
soiled           	piszkos          
soirée           	estély           
sojourn          	idõzés           
sola             	talp             
solar            	nap              
solar battery    	naptelep         
solar cell       	napelem          
solar energy     	napenergia       
solar plexus     	gyomorszáj       
solar system     	naprendszer      
solarium         	szolárium        
solaroize        	túlexponál       
sold             	eladott          
sold it for much 	sokért adta el   
solder           	forraszanyag     
solderer         	forrasztóeszköz  
soldering        	forrasztás       
soldering-iron   	forrasztópáka    
soldering-lamp   	forrasztólámpa   
soldier          	katona           
soldier lad      	kiskatona        
soldiering       	katonáskodás     
soldierly        	katonás          
soldiery         	katonaság        
sole             	egyetlen         
sole heir        	általános örökös 
solecism         	nyelvbotlás      
solely           	kizárólag        
solemn           	ünnepélyes       
solemnity        	ünnepély         
solemnize        	megünnepel       
sol-fa           	szolmizálás      
solicit          	kérelmez         
solicitation     	kérelmezés       
solicitor        	ügyvéd           
solicitous       	aggályos         
solicitousness   	féltõ gondosság  
solicitude       	féltõ gondosság  
solid            	szilárd          
solid angle      	térszög          
solid geometry   	térmértan        
solid measures   	térfogatmérték   
solidarity       	együttérzés      
solidification   	megszilárdulás   
solidify         	megszilárdul     
solidity         	szilárdsád       
soliloquize      	monologizál      
soliloquy        	monológ          
soling           	talpalás         
solitaire        	szoliter         
solitary         	magányos         
solitude         	magány(osság)    
solmizate        	szolmizál        
solo             	szóló            
soloist          	szólóénekes      
solomon          	salamon          
solomon's seal   	dávid-csillag    
solstice         	napforduló       
solubility       	oldhatóság       
soluble          	oldható          
soluble glass    	vízüveg          
solution         	megoldás         
solvability      	oldhatóság       
solvable         	megoldható       
solve            	megold           
solvency         	fizetõképesség   
solvent          	fizetõképes      
solver           	megfejtõ         
somber           	komor            
sombre           	komor            
some             	néhány           
some day         	valamikor        
some days back   	néhány napja     
some few         	jó egynéhány(an) 
some guy         	belevaló fickó   
some months back 	néhány hónapja   
some of them     	némelyikük       
some other time  	más idõben       
some such        	ilyesféle        
some time ago    	valamikor        
some weeks back  	nénány hete      
some years back  	néhány éve       
somebody         	valaki           
someday          	valamikor        
somehow          	valahogy         
someone          	valaki           
someplace        	valahol          
somersault       	bukfenc          
something        	valami           
something like   	körülbelül       
something to do  	tennivaló        
something to eat 	egy kis ennivaló 
sometime         	valamikor        
sometimes        	néha             
someway          	valahogy(an)     
somewhat         	valahol          
somewhere        	valahol          
sommer sale      	nyári vásár      
somnambulism     	holdkórosság     
somnambulist     	holdkóros        
somnolence       	álmosság         
somnolent        	álmos            
son              	fiú              
son in law       	vej              
son of a bitch   	kurva anyját     
sonant           	hangzó           
sonar            	hanglokátor      
sonata           	szonáta          
song             	ének             
song hit         	sláger           
song-bird        	énekesmadár      
songbook         	dalszöveg-gyûjtem
songster         	énekes           
sonic            	hang             
sonic bang       	hangrobbanás     
sonic barrier    	hanghatár        
sonic boom       	hangrobbanás     
son-in-law       	võ               
sonnet           	szonett          
sonority         	hangzatosság     
sonorous         	hangzatos        
sonsy            	szerencsés       
sonny            	fiacskám         
soo              	olyan            
soon             	hamar            
soon after       	nemsokára        
sooner or later  	elõbb-utóbb      
soot             	korom            
soothe           	megnyugtat       
soother          	cumi             
soothing         	(meg)nyugtató    
soothsayer       	jós(nõ)          
soothsaying      	jóslás           
sooty            	kormos           
sop              	felszív          
sop up           	kimártogat       
sophism          	álokoskodás      
sophist          	álokoskodó       
sophistic        	hamisan értékelõ 
sophistical      	hamisan értékelõ 
sophisticated    	mesterkélt       
sophistry        	álokoskodás      
sophomore        	másodéves hallgat
soporific        	altató(szer)     
sopped           	mártogatott      
soppy            	átázott          
soprano          	szoprán          
sorb             	berkenye         
sorbet           	sörbet           
sorcerer         	varázsló         
sorceress        	boszorkány       
sorcery          	boszorkányság    
sordid           	mocskos          
sordidness       	aljasság         
sore             	fájó             
sore spot        	fájó pont        
sore throat      	torokfájás       
sorely           	súlyosan         
soreness         	fájdalom         
sorghum          	cirok            
sorority         	leányszövetség   
sorrel           	sóska            
sorrounding      	környezõ         
sorrow           	bánat            
sorrowful        	bánatos          
sorry            	bocsánat         
sorry!           	sajnálom!        
sorry, but       	sajnálom, de     
sort             	szortíroz        
sort of          	valahogy         
sort out         	kiválogat        
sorter           	szortírozó       
sortie           	bevetés          
sorting          	szortírozás      
sos              	sos              
so-so            	tûrhetõ(en)      
sot              	iszákos          
sottish          	részeges         
sotto voce       	halkan           
soubrette        	szubrett         
souchong         	kínai fekete tea 
sough            	susogás          
sought           	keresett         
soul             	lélek            
soul kiss        	nyelves csók     
soul-destroying  	lélekölõ         
soulful          	lelkes           
soulles          	lélektelen       
soul-stirring    	lelkesítõ        
sound            	hang             
sound archives   	hangarhívum      
sound barrier    	hanghatár        
sound effect     	hanghatás        
sound effects    	hanghatások      
sound engineer   	hangmérnök       
sound of mind    	épelméjû         
sound sleep      	mély álom        
sound speed      	hangsebesség     
sound the alarm  	vészjelet ad     
sound the horn   	dudál            
sound-absorbing  	hangszigetelõ    
sound-board      	hangszekrény     
sound-box        	hangdoboz        
sounder          	hangjelzõ        
sound-film       	hangosfilm       
sound-groove     	hangbarázda      
sound-hole       	hanglyuk         
sounding         	hangzás          
sounding-balloon 	kutató léggömb   
sounding-lead    	mélységmérõ      
sounding-line    	mérõón           
soundless        	hangtalan        
sound-locator    	hanglokátor      
soundly          	alaposan         
soundness        	alaposság        
sound-proof      	hangszigetelt    
sound-record     	rögzített hang   
sound-recording  	hangfelvétel     
sounds           	hangok           
sound-track      	hangsáv          
sound-wawe       	hanghullám       
soup             	leves            
soup-kitchen     	népkonyha        
soup-ladle       	merõkanál        
soup-plate       	mélytányér       
soup-tureen      	levesestál       
sour             	savanyú          
sour cherry      	meggy            
sour cream       	tejföl           
sour grapes      	savanyú a szõlõ  
source           	forrás           
source code file 	forráskód file   
source program   	forrásprogram    
source-book      	forrásmunka      
source-code      	forráskód        
sources          	források         
source-string    	forrás szöveg    
sourcream        	tejföl           
sour-faced       	savanyú képû     
sourish          	savanykás        
sourness         	savanyúság       
souse            	sós pác(lé)      
soused           	pácolt           
soutache         	paszomány        
soutane          	reverenda        
south            	dél              
south pole       	déli-sark        
south-east       	délkelet         
southeaster      	délkeleti szél   
southeasterly    	délkeleti        
southeastern     	délkeleti        
southerly        	déli             
southern         	déli             
southerner       	délvidéki        
south-paw        	balkezes játékos 
southron         	déli lakos       
southward        	déli             
southwards       	dél felé         
south-west       	délnyugat        
southwester      	délnyugati szél  
southwesterly    	délnyugati       
southwestern     	délnyugati       
souvenir         	emléktárgy       
souvenir shop    	ajándékbolt      
sov.             	legfõbb          
sovereign        	legfõbb          
sovereignty      	szuverenitás     
sow              	koca             
sow-bug          	fatetû           
sower            	magvetõ          
sowing           	veteményezés     
sowing-machine   	vetõgép          
sowing-time      	vetési idõ       
soy              	szója            
soya             	szója            
soybean          	szójabab         
sozzled          	tökrészeg        
sp. gr.          	fajsúly          
spa              	fürdõváros       
space            	szóköz           
space bar        	szóközbillentyû  
space between    	térköz           
space flight     	ûrrepülés        
space probe      	ûrszonda         
space research   	ûrkutatás        
space shuttle    	ûrrepülõgép      
space station    	ûrállomás        
space travel     	ûrutazás         
space traveller  	ûrhajós          
space vehicle    	ûrhajó           
space-bar        	szóközbillentyû  
space-capsule    	ûrkabin          
spacecraft       	ûrhajó           
spaced           	elosztott        
spaceman         	ûrhajós          
space-rocket     	ûrrakéra         
spaces           	üres helyek      
space-saving     	helykímélõ       
spaceship        	ûrhajó           
spacesuit        	ûrruha           
space-time       	téridõ           
spacing          	ritkítás         
spacious         	tágas            
spaciousness     	tágasság         
spade            	ásó              
spade-bone       	lapockacsont     
spadeful         	lapátnyi         
spade-work       	fárasztó munka   
spaghetti        	spagetti         
spain            	spanyolország    
spake            	beszélt          
spam             	löncshús         
span             	áthidal          
spangle          	flitter          
spaniard         	spanyol          
spaniel          	spániel          
spanish          	spanyol          
spank            	ütés             
spank along      	gyorsan megy     
spanker          	nagyszerû dolog  
spanker sail     	farvitorla       
spanking         	klassz           
spanned          	átívelt          
spanner          	csavarkulcs      
span-roof        	nyeregtetõ       
spar             	gerenda          
spare            	tartalék         
spare bed        	pótágy           
spare bedroom    	vendégszoba      
spare parts      	pótalkatrészek   
spare time       	szabadidõ        
spare tyre       	pótkerék         
spare wheel      	pótkerék         
sparing          	takarékos        
sparing of words 	szûkszavú        
spark            	szikra           
spark plug       	gyújtógyertya    
spark-gap        	szikraköz        
sparking         	szikrázás        
sparkink-plug    	gyújtógyertya    
sparkle          	sziporkázás      
sparklet         	szifonpaton      
sparkling        	szikrázás        
sparred          	bokszol          
sparring         	bokszolás        
sparring-match   	ökölvívómérkõzés 
sparring-partner 	edzõtárs         
sparrow          	veréb            
sparrow-grass    	spárga           
sparrow-hawk     	karvaly          
sparse           	ritka            
sparsely         	szórványosan     
spasm            	görcs            
spasmodic        	görcsös          
spastic          	görcsös          
spat             	köpött           
spate            	árvíz            
spatial          	térbeli          
spatted          	veszekedett      
spatter          	fröcsköl(és)     
spatterdash      	lábszárvédõ      
spatula          	spatula          
spawn            	(hal)ikra        
spawned          	ikrázik          
spawner          	ikrás            
spay             	ivartalanít (n)  
speak            	beszél           
speak aside      	félreszól        
speak fair of    	kedvezõen beszél 
speak one's mind 	õszintén beszél  
speak volumes    	sokatmondó       
speak well for   	javára szól      
speakable        	kimondható       
speak-easy       	zugkocsma        
speaking         	beszélõ          
speaking-trumpet 	hallócsõ         
speaking-tube    	szócsõ           
spear            	lándzsa          
spear-head       	lándzsahegy      
spearmint        	fodormenta       
spear-shaft      	lándzsanyél      
spearwort        	boglárka         
special          	különleges       
special effect   	filmtrükk        
specialist       	szakember        
speciality       	különlegesség    
specialization   	szakosodás       
specialize       	szakosít         
specialized      	szakosított      
specialized word 	szakszó          
specialty        	szakterület      
specially        	különlegesen     
specie           	fémpénz          
species          	faj(ta)          
specifiable      	részletezhetõ    
specific         	jellegzetes      
specific gravity 	fajsúly          
specific heat    	fajlagos hõ      
specific name    	renszertani név  
specific weight  	fajsúly          
specifically     	különösen        
specification    	részletezés      
specifications   	részletezések    
specified        	részletezett     
specifies        	részletez        
specify          	részletez        
specifyed        	részletez        
specifying       	részletezés      
specimen         	példány          
specious         	mutatós          
speciousness     	megtévesztõ látsz
speck            	szalonna         
specked          	pettyes          
speckle          	petty            
speckled         	pettyes          
spectacle        	látvány(osság)   
spectacle-case   	szemüvegtok      
spectacled       	szemüveges       
spectacles       	szemüveg         
spectacular      	látványos        
spectator        	nézõ             
specter          	kísértet         
spectra          	színképek        
spectral         	kísérteti(es)    
spectroscope     	színképelemzõ mûs
spectroscopy     	színképelemzés   
spectrum         	színkép          
spectrums        	színképek        
speculate        	elmélkedik       
speculation      	elmélkedés       
speculative      	elméleti         
speculator       	spekuláns        
speculum         	orvosi tükör     
specs            	szemüveg         
sped             	gyorsított       
speech           	beszéd           
speech area      	nyelvterület     
speech defect    	beszédhiba       
speech disorder  	beszédzavar      
speech habit     	nyelvszokás      
speech sound     	beszédhang       
speech-day       	tanévzáró ünnepél
speechify        	szónokol         
speechless       	szótlan          
speech-making    	szónoklás        
speech-sound     	beszédhangok     
speed            	sebesség         
speed up         	felgyorsít       
speed-boat       	verseny(motor)csó
speed-cop        	motoros rendõr   
speeded          	gyorsított       
speed-hog        	gyorshajtó       
speedily         	gyorsan          
speed-indicator  	sebességmérõ     
speediness       	gyorsaság        
speeding         	gyorshajtás      
speeding up      	felgyorsítás     
speed-limit      	sebességkorlátozá
speed-merchant   	gyorshajtó       
speedometer      	sebességmérõ     
speed-skating    	gyorskorcsolyázás
speedster        	gyorshajtó       
speed-trial      	gyorsasági versen
speed-up         	gyorsulás        
speedwalk        	mozgójárda       
speedway         	autópálya        
speedy           	gyors            
spell            	betûz            
spell it, please 	betûzze kérem    
spell-binder     	lenyûgözõ        
spell-bound      	lenyûgözött      
spelled          	betûzött         
speller          	helyesírási szótá
spelling         	betûzés          
spelling-book    	helyesírási könyv
spelt            	betûzött         
spelter          	horgany          
spencer          	zubbony          
spend            	költ(ekezik)     
spend time doing 	idejét tölti     
spender          	költekezõ        
spending         	költekezés       
spending money   	költõpénz        
spending power   	vásárlóerõ       
spending spree   	költekezés       
spendthrift      	pazarló          
spent            	fáradt           
sperm            	ondó             
spermaceti       	cetvelõ          
spermatism       	magömlés         
spermatozoa      	ondósejt         
spermatozoon     	spermium         
sperm-whale      	ámbrás cet       
spew             	kiokád           
sphagnum         	tõzegmoha        
sphere           	szféra           
spherical        	gömbölyû         
spherical joint  	gömbcsukló       
spheroid         	gömbszerû        
spherule         	parányi gömb     
sphincter        	záróizom         
sphinx           	szfinksz         
spice            	fûszer           
spice-cake       	püspökkenyér     
spiciness        	fûszeresség      
spick and span   	vadonatúj        
spick-and-span   	vadonatúj        
spicy            	fûszeres         
spider           	pók              
spider-crab      	tengeri pók      
spider-lines     	hajszálkereszt   
spidery          	pókszerû         
spied            	észrevett        
spiel            	duma             
spier            	kém              
spies            	kémek            
spiffy           	elegáns          
spigot           	(hordó)csap      
spigot-joint     	tokos csõkötés   
